Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SX809Z,1,2,,,V,149,,940,940
TB644N,2,2,,,A,152,,970,970
TB989H,2,2,,,A,157,,960,960
TD989J,2,2,,,A,153,,1170,
OR75KJ,2,3,,N,A,,,9000,9000
SZ004K,2,2,,,A,157,,1000,1000
TB034F,2,2,,,A,148,,800,800
TD105F,1,2,,,V,161,,1095,
OR40KD,3,3,,N,A,,,9000,9000
TD654G,2,2,,,A,152,,860,
TB115F,1,2,,,V,153,,910,910
SZ875P,1,2,,,V,153,,950,950
SV522F,1,2,,,V,155,,1010,
TB259R,1,2,,,V,142,,830,830
SV155R,1,2,,,V,147,,935,
TB678N,2,2,,,A,148,,800,800
SR309Z,2,2,,,A,155,,940,
TD708D,1,2,,,V,164,,541,541
SZ774J,2,2,,,A,151,,893,893
V542PT,2,2,,,A,153,,1230,1230
SX438T,2,2,,,A,152,,867,867
SX763G,1,2,,,V,154,,895,895
TB014S,1,2,,,V,169,,1475,1475
TB900D,1,2,,,V,153,,890,890
TD325K,2,2,,,A,155,,930,
86PHRR,2,2,,,,143,,780,780
66WSRV,1,2,,N,A,,,1350,1350
TD548B,2,2,,,A,161,,1000,1000
SX941P,1,2,,,V,153,,887,887
SX881S,2,2,,,A,198,,2000,
TB501D,2,2,,,A,159,,1085,1085
TD525G,2,2,,,A,157,,1090,
TB068G,1,2,,,V,141,,740,740
OR41KG,2,3,,N,A,,,9000,10000
TD160K,2,2,,,A,141,,640,
SZ685Z,1,2,,,V,156,,1020,1020
TB772F,2,2,,,A,141,,720,720
SZ004K,1,2,,,V,155,,870,870
V608PV,1,2,,,V,157,,1125,1125
SP688K,1,2,,,V,148,,900,
TB061F,2,2,,,A,157,,1080,1080
OR39KD,2,3,,N,A,,,9000,9000
TB460T,2,2,,,A,157,,1055,1055
OR80FG,3,3,,N,A,,,9000,9000
TB213V,2,2,,,A,141,,650,650
OR56KH,2,3,,N,A,,,9000,9000
77WSGZ,1,1,,N,A,,,1350,1350
TD609B,1,2,,,V,169,,1590,1590
TB672R,2,2,,,A,149,,785,785
TD778G,2,2,,,A,156,,1130,
TB344Z,2,2,,,A,157,,1080,1080
TB580D,2,2,,,A,157,,1080,1080
V413PB,2,2,,N,A,174,,1590,1590
SV415Z,1,2,,,V,151,,820,820
OR99JY,2,3,,N,A,,,9000,9000
TB760S,2,2,,,A,152,,760,760
TB927J,1,2,,,V,146,,885,885
SZ547Z,1,2,,,V,158,,1060,1060
SZ602Z,1,2,,,V,150,,910,910
SZ502H,1,2,,,V,155,,1030,1030
SL961L,1,2,,,V,156,,970,970
V192PT,2,2,,N,A,172,,1890,1890
26WSRF,2,2,,N,A,,,1000,1000
22WSPN,2,2,,N,A,,,1500,1500
SV152J,2,2,,,A,147,,965,
SN117Z,2,2,,,A,152,,1000,1000
SZ618Z,2,2,,,A,151,,925,925
TD121G,2,2,,,A,150,,760,760
TB606F,2,2,,,A,141,,720,720
TD049G,2,2,,,A,145,,820,820
RH267K,2,2,,,A,198,,2000,2000
V775PX,2,2,,,A,105,,1200,1200
TD068B,2,2,,,A,149,,860,860
15BLD2,1,3,N,N,V,,,8000,8000
V776PX,2,2,,,A,157,,1870,1870
SZ904F,2,2,,,A,158,,1070,1070
TB787X,1,2,,,V,156,,985,985
48YD74,1,2,,,V,,,,
V984PN,1,2,,N,V,162,,1585,1585
SZ482H,1,2,,,V,156,,1060,1060
TB879H,1,2,,,V,160,,1080,1080
00BLB9,3,3,N,J,A,,,7500,7500
SZ867F,1,2,,,V,150,,859,859
DZ5764,2,2,,,A,130,,,
TB836B,2,2,,,A,151,,893,893
PT501F,2,2,,,A,155,,1100,
V415NJ,1,2,J,,V,175,,1850,1850
TB048J,1,2,,,V,143,,600,600
TB713F,2,2,,,A,159,,1050,1050
79WSNR,2,2,,N,A,,,1000,1000
SH016V,1,2,,,V,147,,870,870
ST158H,1,2,,,V,158,,1040,1040
TD740B,1,2,,,V,150,,900,900
V200RD,1,2,,N,V,175,,1725,1725
